symbol	section	namespace	name	GMSJ01	GMSJ01.size	GMSE01	GMSE01.size	GMSP01	GMSP01.size	GMSJ0A	GMSJ0A.size
memset	.init	Runtime.PPCEABI.H	memset	80003100	48	80003100	48	80003100	48	80003100	48
__fill_mem	.init	Runtime.PPCEABI.H	__fill_mem	80003130	196	80003130	196	80003130	196	80003130	196
memcpy	.init	Runtime.PPCEABI.H	memcpy	800031F4	80	800031F4	80	800031F4	80	800031F4	80
TRK_memcpy	.init	TRK_MINNOW_DOLPHIN	TRK_memcpy	80003244	36	80003244	36	80003244	36	80003244	36
TRK_memset	.init	TRK_MINNOW_DOLPHIN	TRK_memset	80003268	48	80003268	48	80003268	48	80003268	48
__TRK_reset	.init	TRK_MINNOW_DOLPHIN	__TRK_reset	800051CC	32	800051CC	32	800051CC	32	800051CC	32
__check_pad3	.init	os	__check_pad3	800051EC	64	800051EC	64	800051EC	64	800051EC	64
__start	.init	os	__start	8000522C	312	8000522C	312	8000522C	312	8000522C	312
__init_registers	.init	os	__init_registers	80005364	28	80005364	28	80005364	28	80005364	28
__init_data	.init	os	__init_data	80005380	192	80005380	192	80005380	192	80005380	192
__init_hardware	.init	os	__init_hardware	80005440	32	80005440	32	80005440	32	80005440	32
__flush_cache	.init	os	__flush_cache	80005460	52	80005460	52	80005460	52	80005460	52
@152	extab	Runtime.PPCEABI.H	@152	80005540	8	80005540	8	80005540	8	80005540	8
@157	extab	Runtime.PPCEABI.H	@157	80005548	8	80005548	8	80005548	8	80005548	8
@174	extab	Runtime.PPCEABI.H	@174	80005550	24	80005550	24	80005550	24	80005550	24
@182	extab	Runtime.PPCEABI.H	@182	80005568	8	80005568	8	80005568	8	80005568	8
@201	extab	Runtime.PPCEABI.H	@201	80005570	24	80005570	24	80005570	24	80005570	24
@153	extabindex	Runtime.PPCEABI.H	@153	800055A0	12	800055A0	12	800055A0	12	800055A0	12
@158	extabindex	Runtime.PPCEABI.H	@158	800055AC	12	800055AC	12	800055AC	12	800055AC	12
@175	extabindex	Runtime.PPCEABI.H	@175	800055B8	12	800055B8	12	800055B8	12	800055B8	12
@183	extabindex	Runtime.PPCEABI.H	@183	800055C4	12	800055C4	12	800055C4	12	800055C4	12
@202	extabindex	Runtime.PPCEABI.H	@202	800055D0	12	800055D0	12	800055D0	12	800055D0	12
main	.text	main	main	80005600	68	80005600	68	80005600	68	80005600	68
__sinit_main_cpp	.text	main	__sinit_main_cpp	80005644	40	80005644	40	80005644	40	80005644	40
inv_sqrt__Q29JGeometry8TUtil<f>Ff	.text	JGeometry::TUtil<float><float>	inv_sqrt			80005A54	52	80005A54	52	80005A54	52
scale__Q29JGeometry8TVec3<f>Ff	.text	JGeometry::TVec3<float><float>	scale			80005A88	40	80005A88	40	80005A88	40
sqrt__Q29JGeometry8TUtil<f>Ff	.text	JGeometry::TUtil<float><float>	sqrt			800067E8	56	800067E8	56	800067E8	56
dot__Q29JGeometry8TVec3<f>CFRCQ29JGeometry8TVec3<f>	.text	JGeometry::TVec3<float><float>	dot			80006820	40	80006820	40	80006820	40
__dt__9TPathNodeFv	.text	TPathNode	~TPathNode			80006A2C	64	80006A2C	64	80006A2C	64
__dt__Q26JDrama8TViewObjFv	.text	JDrama::TViewObj	~TViewObj			80006A6C	100	80006A6C	100	80006A6C	100
restoreDrawBuffer__13TEnemyManagerFUl	.text	TEnemyManager	restoreDrawBuffer			80006BC4	4	80006BC4	4	80006BC4	4
changeDrawBuffer__13TEnemyManagerFUl	.text	TEnemyManager	changeDrawBuffer			80006BC8	4	80006BC8	4	80006BC8	4
